🇨🇳 卫视,#genre#
凤凰中文,http://ycsj.aguihome.com:4022/udp/233.50.200.42:5140					
凤凰中文,http://ycsj.aguihome.com:4022/udp/233.50.200.191:5140					
凤凰资讯,http://ycsj.aguihome.com:4022/udp/233.50.200.192:5140					
天津卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.104:5140					
天津卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.104:5140					
河北卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.105:5140					
河北卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.140:5140					
安徽卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.106:5140					
安徽卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.113:5140					
重庆卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.114:5140					
云南卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.115:5140					
四川卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.118:5140					
四川卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.139:5140					
江西卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.119:5140					
江西卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.145:5140					
江苏卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.144:5140					
江苏卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.106:5140					
浙江卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.145:5140					
浙江卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.231:5140					
东方卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.146:5140					
东方卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.125:5140					
湖北卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.147:5140					
湖北卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.114:5140					
广东卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.149:5140					
广东卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.102:5140					
北京卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.179:5140					
北京卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.107:5140					
广东卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.187:5140					
深圳卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.188:5140					
深圳卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.101:5140					
黑龙江卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.189:5140					
黑龙江卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.115:5140					
湖南卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.190:5140					
湖南卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.103:5140					
山东卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.105:5140					
辽宁卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.141:5140					
贵州卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.142:5140					
重庆卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.143:5140					
河南卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.144:5140					
东南卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.146:5140					

东方卫视,http://www.shizhan.love:8848/udp/239.49.0.48:8376
北京卫视,http://www.shizhan.love:8848/udp/239.49.0.49:8384
浙江卫视,http://www.shizhan.love:8848/udp/239.49.0.50:8392
辽宁卫视,http://www.shizhan.love:8848/udp/239.49.0.51:8400
安徽卫视,http://www.shizhan.love:8848/udp/239.49.0.52:8408
山东卫视,http://www.shizhan.love:8848/udp/239.49.0.53:8416
湖南卫视,http://www.shizhan.love:8848/udp/239.49.0.54:8424
