七星🌟央卫,#genre#
纬来体育,http://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130
CCTV13,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel39/2300.m3u8
CCTV1,http://rihou.cc:55/lib/migu.php?id=cctv1
CCTV2,http://rihou.cc:55/lib/migu.php?id=cctv2
CCTV3,http://rihou.cc:55/lib/migu.php?id=cctv3
CCTV4,http://rihou.cc:55/lib/migu.php?id=cctv4
CCTV4,http://rihou.cc:55/lib/migu.php?id=cctv4a
 CCTV4,http://rihou.cc:55/lib/migu.php?id=cctv4o
CCTV5,http://rihou.cc:55/lib/migu.php?id=cctv5
CCTV5+,http://rihou.cc:55/lib/migu.php?id=cctv5p
CCTV6,http://rihou.cc:55/lib/migu.php?id=cctv6
CCTV7,http://rihou.cc:55/lib/migu.php?id=cctv7
CCTV8,http://rihou.cc:55/lib/migu.php?id=cctv8
CCTV9,http://rihou.cc:55/lib/migu.php?id=cctv9
CCTV10,http://rihou.cc:55/lib/migu.php?id=cctv10
CCTV11,http://rihou.cc:55/lib/migu.php?id=cctv11
CCTV12,http://rihou.cc:55/lib/migu.php?id=cctv12
CCTV13,http://rihou.cc:55/lib/migu.php?id=cctv13
CCTV14,http://rihou.cc:55/lib/migu.php?id=cctv14
CCTV15,http://rihou.cc:55/lib/migu.php?id=cctv15
CCTV17,http://rihou.cc:55/lib/migu.php?id=cctv17


CCTV1,http://222.174.140.242:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://222.174.140.242:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://222.174.140.242:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://222.174.140.242:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://222.174.140.242:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://222.174.140.242:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://222.174.140.242:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://222.174.140.242:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://222.174.140.242:9901/tsfile/live/0008_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://222.174.140.242:9901/tsfile/live/0009_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://222.174.140.242:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://222.174.140.242:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://222.174.140.242:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://39.134.18.195/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV14,http://222.174.140.242:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://222.174.140.242:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0



CCTV1,http://tvpull.dxhmt.cn/tv/11081-2.m3u8
CCTV1,https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8
CCTV1,http://171.108.239.6:8181/tsfile/live/0001_1.m3u8
CCTV1,http://49.87.154.246:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://123.154.30.3:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
